Pathway	DA_score	Increase_members_num	Decrease_members_num	Measured_members_num	Increase_member_result	Decrease_member_result	Measure_member_result	KEGG_pathwayid	Pathway Category
Ubiquinone and other terpenoid-quinone biosynthesis	0	2	2	12	COQ6;COQ7	COQ2;C00082	TAT;COQ2;COQ6;COQ3;COQ5;COQ7;NQO1;GGCX;VKORC1;VKORC1L1;C00082;C00156	hsa00130	Metabolism of cofactors and vitamins
Drug metabolism - other enzymes	0	10	10	52	CES1;DPYD;DPYS;TK2;NAT1;CYP2E1;GSTO2;GSTM3;GSTM5;GSTM2	HPRT1;GMPS;UCK2;TK1;UMPS;RRM1;RRM2;NME2;NME1;GSTP1	HPRT1;IMPDH1;IMPDH2;GMPS;TPMT;XDH;ITPA;CES1;CES2;GUSB;CDA;TYMP;DPYD;DPYS;UPB1;UPP1;UCK1;UCK2;UCKL1;TK2;TK1;UMPS;CMPK1;RRM1;RRM2B;RRM2;NME6;NME7;NME2;NME4;NME1;NME3;NME1-NME2;DUT;MPO;NAT1;CYP2E1;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM5;MGST2;GSTA1;GSTM2;GSTO1;GSTT2B;GSTP1;C00003;C00006	hsa00983	Xenobiotics biodegradation and metabolism
Purine metabolism	0.00746268656716418	34	33	134	ADPRM;ENTPD3;ENTPD1;ENTPD4;ENTPD5;NUDT16;GMPR2;ADCY1;ADCY3;ADCY4;ADCY5;ADCY6;ADCY9;GUCY1B1;NPR1;NPR2;PDE1A;PDE1B;PDE2A;PDE3A;PDE3B;PDE5A;PDE6B;PDE10A;AK7;AK5;AK8;ENPP1;PDE4A;PDE4D;PDE7B;PDE8B;PDE8A;C00064	NUDT5;PRPS2;PPAT;GART;PAICS;ATIC;PNP;HPRT1;NME2;NME1;ENTPD6;GMPS;RRM1;RRM2;HDDC2;DGUOK;PRUNE1;ADCY2;ADA;AK2;PDE7A;PAPSS1;C00008;C00020;C00035;C00117;C00130;C00242;C00262;C00385;C01762;C04376;C05512	NUDT9;ADPRM;NUDT5;PGM1;PGM2;PRPS2;PRPS1;PPAT;GART;PFAS;PAICS;ADSL;ATIC;APRT;NT5C2;NT5C1B;NT5C;NT5M;NT5E;PNP;LACC1;HPRT1;IMPDH1;IMPDH2;NME6;NME7;NME2;NME4;NME1;NME3;NME1-NME2;AK9;ENTPD3;ENTPD8;ENTPD1;CANT1;ENTPD4;ENTPD5;ENTPD6;NUDT16;ITPA;XDH;NUDT2;GMPS;GMPR;GMPR2;GUK1;RRM1;RRM2B;RRM2;HDDC2;DGUOK;DCK;HDDC3;PRUNE1;ADCY1;ADCY2;ADCY3;ADCY4;ADCY5;ADCY6;ADCY7;ADCY9;ADCY10;GUCY1A2;GUCY1A1;GUCY1B1;GUCY2C;GUCY2D;NPR1;NPR2;PDE1A;PDE1B;PDE1C;PDE2A;PDE3A;PDE3B;PDE5A;PDE6B;PDE6C;PDE6D;PDE6G;PDE9A;PDE10A;PDE11A;AMPD2;AMPD3;AMPD1;ADK;ADA;ADA2;AK7;AK4;AK5;AK2;AK1;AK8;AK6;AK3;ENTPD2;NTPCR;ENPP1;ENPP3;PDE4A;PDE4B;PDE4C;PDE4D;PDE7A;PDE7B;PDE8B;PDE8A;FHIT;ENPP4;PAPSS2;PAPSS1;C00002;C00008;C00020;C00035;C00037;C00044;C00064;C00117;C00130;C00147;C00212;C00242;C00262;C00294;C00301;C00385;C01762;C04376;C05512	hsa00230	Nucleotide metabolism
Glycerophospholipid metabolism	0.021505376344086	21	19	93	GPD1L;GPD1;GPAM;ADPRM;PLPP1;PLPP3;DGKD;DGKA;CEPT1;PLD1;PLD4;JMJD7-PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;PNPLA7;GPCPD1;CHKB;PHOSPHO1;PISD	GPD2;LCLAT1;LPCAT1;LYPLA1;LYPLA2;PCYT1B;SELENOI;PCYT2;PTDSS1;C00065;C00093;C00111;C00114;C00307;C00570;C00588;C00670;C01210;C13482	GPD1L;GPD1;GPD2;GPAM;GPAT2;GPAT4;GPAT3;AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;LCLAT1;MBOAT1;MBOAT2;GNPAT;ADPRM;PLPP1;PLPP3;PLPP2;LPIN1;LPIN3;LPIN2;PLPP5;DGKZ;DGKD;DGKI;DGKA;DGKE;DGKH;DGKG;DGKQ;CHPT1;CEPT1;PLD1;PLD2;PLD3;PLD4;LCAT;PLA2G2D;PLA2G12A;PLA2G5;PLA2G2A;PLA2G4A;JMJD7-PLA2G4B;PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;LPCAT2;LPCAT1;LPCAT4;LPCAT3;LYPLA1;PLA2G15;LYPLA2;PNPLA6;PNPLA7;GPCPD1;ACHE;CHKA;CHKB;PHOSPHO1;PCYT1B;PCYT1A;SELENOI;ETNK1;ETNK2;PCYT2;PEMT;CDS1;CDS2;PLA1A;PTDSS1;PTDSS2;PISD;PGS1;CRLS1;LPGAT1;CDIPT;MBOAT7;C00065;C00093;C00111;C00114;C00307;C00570;C00588;C00670;C01210;C01996;C13482	hsa00564	Lipid metabolism
Nicotinate and nicotinamide metabolism	0.024390243902439	8	7	41	NMNAT1;ENPP1;NUDT12;BST1;SIRT3;NNMT;AOX1;C00022	PNP;SIRT5;SIRT7;C00042;C00111;C00122;C00153	QPRT;NAPRT;PNP;NMRK1;NT5C2;NT5C1B;NT5C;NT5M;NT5E;NMNAT3;NMNAT1;NMNAT2;ENPP1;ENPP3;NUDT12;NADSYN1;NAMPT;CD38;BST1;SIRT1;SIRT2;SIRT3;SIRT4;SIRT5;SIRT6;SIRT7;NADK;NADK2;NNT;NNMT;AOX1;C00003;C00006;C00022;C00042;C00049;C00111;C00122;C00153;C02918;C03722	hsa00760	Metabolism of cofactors and vitamins
Glycerolipid metabolism	0.0535714285714286	10	7	56	ALDH3A2;TKFC;GPAM;PLPP1;PLPP3;DGKD;DGKA;PNPLA2;LPL;MGLL	LCLAT1;PNPLA3;AGK;C00029;C00093;C00111;C00197	GLYCTK;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;AKR1B1;AKR1A1;TKFC;GK;GPAM;GPAT2;GPAT4;GPAT3;AGPAT1;AGPAT2;AGPAT3;AGPAT4;AGPAT5;LCLAT1;MBOAT1;MBOAT2;PLPP1;PLPP3;PLPP2;LPIN1;LPIN3;LPIN2;PLPP5;DGKZ;DGKD;DGKI;DGKA;DGKE;DGKH;DGKG;DGKQ;DGAT1;DGAT2;CEL;PNPLA2;PNPLA3;LIPC;LIPG;LPL;AGK;MGLL;ABHD16A;MOGAT2;GLA;C00029;C00093;C00111;C00197;C00258;C05401	hsa00561	Lipid metabolism
Fatty acid elongation	0.0714285714285714	6	4	28	PPT1;ELOVL2;ELOVL5;ACOT4;ACOT2;ACOT1	ELOVL1;ELOVL6;HSD17B12;ACOT7	ACAA2;HADHB;HADH;HADHA;ECHS1;MECR;PPT1;PPT2;ELOVL1;ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7;HSD17B12;HACD2;HACD1;HACD4;HACD3;TECR;ACOT4;ACOT2;ACOT1;ACOT7;THEM4;THEM5;C00249	hsa00062	Lipid metabolism
Starch and sucrose metabolism	0.0769230769230769	5	3	26	MGAM;GANC;ENPP1;PYGM;AMY2B	GPI;C00029;C00092	MGAM;MGAM2;GAA;GANC;UGP2;ENPP1;ENPP3;GYS1;GYG1;GYG2;GBE1;PYGL;PYGM;PYGB;AGL;AMY2B;PGM1;PGM2;HK3;HK1;HK2;G6PC3;PGM2L1;GPI;C00029;C00092	hsa00500	Carbohydrate metabolism
Tyrosine metabolism	0.0882352941176471	10	7	34	PNMT;LRTOMT;MAOA;AOC3;ALDH3B1;ADH1B;ADH1C;TPO;AOX1;C00022	GOT2;MIF;C00042;C00082;C00122;C00788;C05581	GOT1;GOT2;TAT;IL4I1;HGD;GSTZ1;FAH;DCT;DBH;PNMT;COMT;LRTOMT;MAOB;MAOA;AOC3;AOC2;ALDH3B1;ALDH3B2;ALDH3A1;ADH1B;ADH1C;ADH5;ADH6;TPO;AOX1;FAHD1;MIF;C00022;C00042;C00082;C00122;C00642;C00788;C05581	hsa00350	Amino acid metabolism
Other types of O-glycan biosynthesis	0.0909090909090909	11	7	44	EOGT;MFNG;LFNG;GXYLT2;GALNT5;GALNT17;GALNT16;GALNT15;GALNT10;GALNT6;GALNT4	B4GALT2;B4GALT3;XXYLT1;PLOD3;GALNT3;C1GALT1;C1GALT1C1	OGT;EOGT;POFUT1;POFUT2;MFNG;LFNG;RFNG;B4GALT1;B4GALT2;B4GALT3;ST6GAL1;ST6GAL2;ST3GAL3;B3GLCT;POGLUT1;GXYLT1;GXYLT2;XXYLT1;COLGALT1;COLGALT2;PLOD3;POMT1;POMT2;GALNT5;GALNT17;GALNT11;GALNT12;GALNT13;GALNT14;GALNT16;GALNT15;GALNT18;GALNT10;GALNT2;GALNT3;GALNT1;GALNT6;GALNT4;GALNT7;GALNT8;POC1B-GALNT4;C1GALT1;C1GALT1C1;C1GALT1C1L	hsa00514	Glycan biosynthesis and metabolism
Folate biosynthesis	0.0952380952380952	6	4	21	ALPL;DHFR2;QDPR;MOCS1;MOCS2;GPHN	DHFR;GGH;CBR1;MOCOS	GCH1;ALPL;DHFR;DHFR2;FPGS;GGH;PTS;SPR;AKR1B1;CBR1;AKR1C3;QDPR;PCBD2;PCBD1;TPH1;MOCS1;MOCS2;GPHN;MOCOS;C00044;C00156	hsa00790	Metabolism of cofactors and vitamins
Fatty acid biosynthesis	0.12	4	1	25	ACACB;CBR4;HSD17B8;C02679	ACACA	ACACA;ACACB;ACSF3;MCAT;FASN;OXSM;CBR4;HSD17B8;HTD2;MECR;OLAH;ACSL6;ACSL4;ACSL1;ACSL5;ACSL3;ACSBG1;ACSBG2;C00249;C00712;C01530;C01571;C02679;C06424;C08362	hsa00061	Lipid metabolism
Propanoate metabolism	0.121212121212121	10	6	33	ACSS3;ACADS;ACOX3;ACACB;MLYCD;ABAT;PCCA;SUCLG2;SUCLA2;ALDH6A1	ACACA;LDHA;LDHB;C00042;C00111;C00186	ACSS1;ACSS2;ACSS3;BCKDHA;BCKDHB;DBT;DLD;ACADS;ACOX3;ACOX1;HADHA;EHHADH;ECHS1;HIBCH;ACACA;ACACB;MLYCD;ABAT;PCCA;PCCB;ECHDC1;MCEE;SUCLG1;SUCLG2;SUCLA2;ALDH6A1;LDHAL6B;LDHA;LDHB;C00042;C00111;C00186;C04593	hsa00640	Carbohydrate metabolism
Glycosphingolipid biosynthesis - ganglio series	0.133333333333333	4	2	15	B3GALT4;ST3GAL5;ST6GALNAC3;ST6GALNAC6	B4GALNT1;ST8SIA5	B4GALNT1;B3GALT4;ST3GAL2;ST3GAL1;ST8SIA5;ST3GAL5;ST8SIA1;SLC33A1;ST6GALNAC3;ST6GALNAC4;ST6GALNAC5;ST6GALNAC6;GLB1;HEXA;HEXB	hsa00604	Glycan biosynthesis and metabolism
Sphingolipid metabolism	0.142857142857143	12	5	49	KDSR;ASAH1;ACER2;DEGS2;SGMS1;SMPD1;SMPD3;PLPP1;PLPP3;SGPP1;UGCG;GALC	SMPD4;SPHK1;UGT8;B4GALNT1;C00065	SPTLC1;SPTLC2;SPTLC3;KDSR;CERS1;CERS2;CERS4;CERS3;CERS6;CERS5;ASAH1;ASAH2;ACER2;ACER3;DEGS1;DEGS2;SGMS1;SGMS2;SMPD1;SMPD2;SMPD3;SMPD4;CERK;PLPP1;PLPP3;PLPP2;SGPP1;SGPP2;SPHK1;SPHK2;SGPL1;UGCG;GBA;GBA2;B4GALT6;B4GALT5;GLB1;UGT8;GALC;ARSA;NEU1;NEU3;GLA;B4GALNT1;HEXA;HEXB;PSAP;C00065;C00319	hsa00600	Lipid metabolism
Taurine and hypotaurine metabolism	0.142857142857143	9	6	21	CDO1;CSAD;FMO1;FMO2;FMO5;FMO4;GGT7;GGT5;C00022	GGT1;C00025;C00041;C00097;C00245;C00519	CDO1;GAD1;CSAD;ADO;FMO1;FMO2;FMO5;FMO3;FMO4;GGT7;GGT6;GGT1;GGT5;C00022;C00025;C00026;C00041;C00097;C00245;C00506;C00519	hsa00430	Metabolism of other amino acids
Valine, leucine and isoleucine degradation	0.145833333333333	12	5	48	BCAT2;ACADS;IVD;ACADSB;PCCA;ALDH6A1;ALDH3A2;AOX1;ABAT;MCCC2;AUH;HMGCL	HSD17B10;ACAT2;HMGCS1;C00183;C00407	BCAT2;BCAT1;IL4I1;BCKDHA;BCKDHB;DBT;DLD;ACADS;ACADM;IVD;ACADSB;ACAD8;HADHA;EHHADH;ECHS1;HADH;HSD17B10;ACAA1;ACAA2;HADHB;PCCA;PCCB;MCEE;HIBCH;HIBADH;ALDH6A1;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;AOX1;ACSF3;ABAT;MCCC1;MCCC2;AUH;HMGCL;HMGCLL1;OXCT1;OXCT2;AACS;ACAT2;ACAT1;HMGCS1;C00141;C00183;C00407	hsa00280	Amino acid metabolism
Inositol phosphate metabolism	0.164383561643836	21	9	73	MTM1;MTMR3;MTMR6;PI4K2A;PIP5K1B;INPP5B;PIK3CG;PTEN;INPP5D;INPP4B;PIP4K2A;PLCB2;PLCD4;PLCE1;PLCH2;INPP1;INPP5A;INPP5K;INPP5J;ITPK1;ALDH6A1	MTMR2;PIP5K1A;PLCG1;PLCH1;IMPA2;TPI1;C00092;C00111;C00137	PIK3C3;MTM1;MTMR1;MTMR2;MTMR3;MTMR4;MTMR8;MTMR6;MTMR7;MTMR14;PI4KA;PI4KB;PI4K2A;PI4K2B;SACM1L;INPP5F;PIP5K1C;PIP5K1A;PIP5K1B;PIP5KL1;OCRL;INPP5B;INPP5E;SYNJ1;SYNJ2;PIK3CA;PIK3CD;PIK3CB;PIK3CG;PTEN;INPP5D;INPPL1;PIK3C2G;PIK3C2A;PIK3C2B;INPP4A;INPP4B;PIKFYVE;FIG4;PIP4K2C;PIP4K2A;PIP4K2B;PLCB1;PLCB2;PLCB3;PLCB4;PLCD1;PLCD3;PLCD4;PLCE1;PLCG1;PLCG2;PLCH1;PLCH2;IMPA2;IMPA1;CDIPT;ISYNA1;INPP1;INPP5A;INPP5K;INPP5J;MINPP1;ITPKB;ITPKC;ITPK1;IPMK;IPPK;ALDH6A1;TPI1;C00092;C00111;C00137	hsa00562	Carbohydrate metabolism
Steroid hormone biosynthesis	0.172413793103448	8	3	29	CYP11A1;CYP21A2;CYP7B1;HSD17B8;CYP3A5;CYP2E1;HSD17B11;LRTOMT	SRD5A1;HSD17B12;DHRS11	CYP11A1;STS;SULT2B1;CYP21A2;SRD5A1;SRD5A3;AKR1C2;AKR1C3;HSD11B1;HSD11B1L;HSD11B2;AKR1C1;CYP7B1;HSD17B1;HSD17B2;HSD17B6;HSD17B7;HSD17B8;HSD17B12;DHRS11;CYP3A5;CYP2E1;CYP1B1;CYP19A1;HSD17B11;COMT;LRTOMT;HSD17B3;C18043	hsa00140	Lipid metabolism
Thiamine metabolism	0.176470588235294	7	4	17	ALPL;TPK1;AK7;AK5;AK8;THTPA;C00022	NFS1;AK2;C00082;C00097	NFS1;NTPCR;ALPL;ACP1;TPK1;AK7;AK4;AK5;AK2;AK1;AK8;THTPA;C00003;C00022;C00037;C00082;C00097	hsa00730	Metabolism of cofactors and vitamins
Other glycan degradation	0.1875	3	0	16	MAN2C1;MAN2B2;FUCA1		NEU1;NEU3;GLB1;HEXA;HEXB;HEXD;MAN2C1;MAN2B1;MAN2B2;MANBA;ENGASE;FUCA1;FUCA2;AGA;GBA;GBA2	hsa00511	Glycan biosynthesis and metabolism
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.192307692307692	8	3	26	PIGH;PIGL;GPLD1;PIGV;PIGB;PIGG;PIGS;MPPE1	PIGP;PIGW;PIGU	PIGA;PIGC;PIGH;PIGP;PIGQ;PIGY;DPM2;PIGL;PIGW;GPLD1;PIGM;PIGX;PIGV;PIGN;PIGB;PIGO;PIGF;PIGG;GPAA1;PIGK;PIGS;PIGT;PIGU;PGAP1;MPPE1;PIGZ	hsa00563	Glycan biosynthesis and metabolism
Fatty acid degradation	0.209302325581395	11	2	43	ACOX3;ACADS;ACADSB;ACADVL;CPT1A;CPT2;ECI2;CYP2U1;ADH1B;ADH1C;ALDH3A2	ACAT2;C00010	ACAT2;ACAT1;ACAA1;ACAA2;HADHB;HADH;HADHA;EHHADH;ECHS1;ACOX3;ACOX1;ACADS;ACADM;ACADL;ACADSB;ACADVL;GCDH;ACSL6;ACSL4;ACSL1;ACSL5;ACSL3;ACSBG1;ACSBG2;CPT1A;CPT1B;CPT1C;CPT2;ECI1;ECI2;CYP2U1;ADH1B;ADH1C;ADH5;ADH6;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;C00010;C00249;C02990	hsa00071	Lipid metabolism
Histidine metabolism	0.222222222222222	7	1	27	HDC;ALDH3A2;ASPA;HNMT;MAOA;ALDH3B1;CARNS1	C00025	HAL;AMDHD1;FTCD;HDC;AOC1;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;ASPA;HNMT;MAOB;MAOA;ALDH3B1;ALDH3B2;ALDH3A1;CARNS1;CARNMT1;CNDP2;C00025;C00026;C00049;C00386;C00439;C03680;C05828	hsa00340	Amino acid metabolism
beta-Alanine metabolism	0.235294117647059	12	4	34	CSAD;CARNS1;ABAT;AOC3;ALDH3A2;ALDH3B1;DPYD;DPYS;ACADS;ACOX3;MLYCD;ALDH6A1	SMOX;C00106;C00429;C02642	CSAD;GAD1;CARNS1;CNDP2;ABAT;SMOX;AOC3;AOC2;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;ALDH3B1;ALDH3B2;ALDH3A1;DPYD;DPYS;UPB1;HIBCH;HADHA;EHHADH;ECHS1;ACADS;ACOX3;ACOX1;MLYCD;ALDH6A1;C00049;C00106;C00386;C00429;C02642;C03722	hsa00410	Metabolism of other amino acids
Ether lipid metabolism	0.243243243243243	13	4	37	PLPP1;PLPP3;CEPT1;JMJD7-PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;ENPP2;PLD1;PLD4;PAFAH1B1;PAFAH2	SELENOI;UGT8;LPCAT1;C00670	AGPS;PLPP1;PLPP3;PLPP2;SELENOI;CHPT1;CEPT1;PLA2G2D;PLA2G12A;PLA2G5;PLA2G2A;PLA2G4A;JMJD7-PLA2G4B;PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;LPCAT4;ENPP6;ENPP2;GDPD3;GDPD1;TMEM86B;PLD1;PLD2;PLD3;PLD4;UGT8;LPCAT2;LPCAT1;PAFAH1B1;PAFAH1B2;PAFAH1B3;PLA2G7;PAFAH2;C00670	hsa00565	Lipid metabolism
Mucin type O-glycan biosynthesis	0.258064516129032	11	3	31	GALNT5;GALNT17;GALNT16;GALNT15;GALNT10;GALNT6;GALNT4;GCNT4;ST6GALNAC1;ST6GALNAC2;ST6GALNAC3	GALNT3;C1GALT1;C1GALT1C1	GALNT5;GALNT17;GALNT11;GALNT12;GALNT13;GALNT14;GALNT16;GALNT15;GALNT18;GALNT10;GALNT2;GALNT3;GALNT1;GALNT6;GALNT4;GALNT7;GALNT8;POC1B-GALNT4;C1GALT1;C1GALT1C1;C1GALT1C1L;GCNT1;GCNT4;ST3GAL1;ST3GAL2;ST6GALNAC1;ST6GALNAC2;ST6GALNAC3;ST6GALNAC4;B3GNT3;B4GALT5	hsa00512	Glycan biosynthesis and metabolism
Metabolism of xenobiotics by cytochrome P450	0.282051282051282	13	2	39	GSTO2;GSTM3;GSTM5;GSTM2;HPGDS;EPHX1;CYP2E1;CYP3A5;AKR7A3;AKR7L;ALDH3B1;ADH1B;ADH1C	GSTP1;CBR1	CYP1B1;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM5;MGST2;GSTA1;GSTM2;GSTO1;GSTT2B;GSTP1;GSTK1;HPGDS;EPHX1;CYP2E1;CYP2S1;AKR1C1;DHDH;CYP2D6;CYP2D7;HSD11B1;HSD11B1L;CBR1;CBR3;CYP3A5;AKR7A2;AKR7A3;AKR7L;ALDH3B1;ALDH3B2;ALDH3A1;ADH1B;ADH1C;ADH5;ADH6;C00829	hsa00980	Xenobiotics biodegradation and metabolism
Linoleic acid metabolism	0.315789473684211	7	1	19	JMJD7-PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;CYP2E1;C14825	C03242	PLA2G2D;PLA2G12A;PLA2G5;PLA2G2A;PLA2G4A;JMJD7-PLA2G4B;PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;ALOX15;CYP2C8;CYP2J2;CYP2E1;C01595;C03242;C14825;C14828	hsa00591	Lipid metabolism
Arachidonic acid metabolism	0.325581395348837	17	3	43	JMJD7-PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;TBXAS1;PTGDS;HPGDS;PTGIS;PTGR2;PTGR1;LTC4S;GGT5;CYP2E1;CYP2U1;ALOX12;EPHX2	PTGES3;CBR1;GGT1	PLA2G2D;PLA2G12A;PLA2G5;PLA2G2A;PLA2G4A;JMJD7-PLA2G4B;PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;PTGS1;PTGS2;PTGES;PTGES2;PTGES3;CBR1;CBR3;PRXL2B;HPGD;TBXAS1;PTGDS;HPGDS;AKR1C3;PTGIS;ALOX5;LTA4H;PTGR2;PTGR1;CYP4F3;LTC4S;GGT1;GGT5;GPX4;CYP2E1;CYP2J2;CYP2U1;ALOX12;ALOXE3;ALOX15B;CYP2C8;EPHX2;ALOX15	hsa00590	Lipid metabolism
Primary bile acid biosynthesis	0.333333333333333	6	1	15	CYP46A1;CH25H;CYP7B1;AMACR;ACOX2;HSD17B4	C00245	CYP46A1;CYP39A1;HSD3B7;CH25H;CYP7B1;CYP27A1;CYP8B1;SLC27A5;AMACR;ACOX2;HSD17B4;SCP2;ACOT8;C00037;C00245	hsa00120	Lipid metabolism
alpha-Linolenic acid metabolism	0.333333333333333	6	1	15	JMJD7-PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;ACOX3	FADS2	PLA2G2D;PLA2G12A;PLA2G5;PLA2G2A;PLA2G4A;JMJD7-PLA2G4B;PLA2G4B;PLA2G4C;PLA2G4F;PLA2G6;PLB1;FADS2;ACOX3;ACOX1;ACAA1	hsa00592	Lipid metabolism
Retinol metabolism	0.333333333333333	10	0	30	ADH1B;ADH1C;DHRS3;PNPLA4;RDH5;AOX1;ALDH1A2;ALDH1A1;CYP3A5;RETSAT		BCO1;ADH1B;ADH1C;ADH5;ADH6;DHRS3;DHRS4;DHRS4L2;DHRS9;RDH10;RDH11;RDH13;RDH16;SDR16C5;HSD17B6;LRAT;DGAT1;PNPLA4;RDH5;AOX1;ALDH1A2;ALDH1A1;ALDH1A3;CYP26A1;CYP26B1;CYP2C8;CYP2S1;CYP3A5;RETSAT;CYP27C1	hsa00830	Metabolism of cofactors and vitamins
Glycosaminoglycan degradation	0.352941176470588	7	1	17	HYAL2;HYAL1;IDS;IDUA;HPSE2;NAGLU;GNS	HYAL3	HYAL2;HYAL1;HYAL3;GUSB;IDS;IDUA;ARSB;HPSE;HPSE2;SGSH;HGSNAT;NAGLU;GALNS;GLB1;GNS;HEXA;HEXB	hsa00531	Glycan biosynthesis and metabolism
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.4	8	0	20	XYLT1;B3GALT6;CSGALNACT1;CHSY3;DSEL;CHST7;CHST15;CHST14		XYLT1;XYLT2;B4GALT7;B3GALT6;B3GAT3;CSGALNACT1;CSGALNACT2;CHSY3;CHSY1;CHPF;CHPF2;DSE;DSEL;CHST11;CHST12;CHST3;CHST7;CHST15;UST;CHST14	hsa00532	Glycan biosynthesis and metabolism
Drug metabolism - cytochrome P450	0.428571428571429	16	1	35	FMO1;FMO2;FMO5;FMO4;CYP3A5;GSTO2;GSTM3;GSTM5;GSTM2;HPGDS;ADH1B;ADH1C;ALDH3B1;MAOA;AOX1;CYP2E1	GSTP1	CYP2D6;CYP2D7;FMO1;FMO2;FMO5;FMO3;FMO4;CYP3A5;GSTA4;GSTO2;GSTM4;GSTM3;MGST1;MGST3;GSTM5;MGST2;GSTA1;GSTM2;GSTO1;GSTT2B;GSTP1;GSTK1;HPGDS;ADH1B;ADH1C;ADH5;ADH6;ALDH3B1;ALDH3B2;ALDH3A1;MAOB;MAOA;AOX1;CYP2E1;CYP2C8	hsa00982	Xenobiotics biodegradation and metabolism
Nitrogen metabolism	0.461538461538462	7	1	13	GLUD1;GLUL;CPS1;CA12;CA5B;CA3;C00064	C00025	GLUD2;GLUD1;GLUL;CPS1;CA13;CA12;CA5B;CA14;CA3;CA8;CA2;C00025;C00064	hsa00910	Energy metabolism
Lipoic acid metabolism	0.5	2	0	4	LIAS;ACSM1		LIPT2;LIAS;LIPT1;ACSM1	hsa00785	Metabolism of cofactors and vitamins
